"","pbs_code","drug_name","form_strength","atc_code","inuse","form_type","adm_route","final_unit","unit_wt_mg","unit_wt_g","unit_wt_ml","uadm_route"
"326","09632Y","CLOZAPINE","oral liquid 50 mg per ml, 100 ml","N05AH02","Y","oral","O",50,50,NA,"per ml, 100 ml","O"
"327","09655E","VALGANCICLOVIR","powder for oral solution 50 mg (as hydrochloride) per ml, 100 ml","J05AB14","Y","oral","O",50,50,NA,"per ml, 100 ml","O"
"328","09668W","EPOETIN LAMBDA","injection 1,000 units in 0.5 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"329","09669X","EPOETIN LAMBDA","injection 2,000 units in 1 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"330","09670Y","EPOETIN LAMBDA","injection 3,000 units in 0.3 ml pre-filled syringe","B03XA01","Y","injection","P",NA,NA,NA,NA,"P"
"331","09700M","ESCITALOPRAM","oral solution 10 mg (as oxalate) per ml, 28 ml","N06AB10","Y","oral","O",10,10,NA,"per ml, 28 ml","O"
"332","09714G","AMOXYCILLIN","powder for paediatric oral drops 100 mg (as trihydrate) per ml, 20 ml","J01CA04","Y","oral","O",100,100,NA,"per ml, 20 ml","O"
"333","09715H","AMOXYCILLIN","powder for paediatric oral drops 100 mg per ml, 20 ml","J01CA04","Y","oral","O",100,100,NA,"per ml, 20 ml","O"
"334","09743T","LEVODOPA + CARBIDOPA ANHYDROUS","intestinal gel 20 mg-5 mg per ml, 100 ml","N04BA02","Y","UNKNOWN","UNKNOWN",20,20,NA,"per ml, 100 ml","UNKNOWN"
"335","09744W","LEVODOPA + CARBIDOPA ANHYDROUS","intestinal gel 20 mg-5 mg per ml, 100 ml","N04BA02","Y","UNKNOWN","UNKNOWN",20,20,NA,"per ml, 100 ml","UNKNOWN"
"336","10168E","VORICONAZOLE","powder for oral suspension 40 mg per ml, 70 ml","J02AC03","Y","oral","O",40,40,NA,"per ml, 70 ml","O"
