"atc";"atc_name";"ddd_factor";"units";"adm_route";"note";"ddd_mg_factor"
"A07DA01";"diphenoxylate";15.0000;"mg";"O";"N/A";15
"A07DA02";"opium";0.1000;"g";"O";"N/A";100
"A07DA03";"loperamide";10.0000;"mg";"O";"N/A";10
"A07DA05";"loperamide oxide";5.0000;"mg";"O";"N/A";5
"A07EA06";"budesonide";9.0000;"mg";"O";"N/A";9
"A07EB01";"cromoglicic acid";0.8000;"g";"O";"N/A";800
"A07EC01";"sulfasalazine";2.0000;"g";"O";"N/A";2000
"A07EC01";"sulfasalazine";2.0000;"g";"R";"N/A";2000
"A07EC02";"mesalazine";1.5000;"g";"O";"N/A";1500
"A07EC02";"mesalazine";1.5000;"g";"R";"N/A";1500
"A07EC03";"olsalazine";1.0000;"g";"O";"N/A";1000
"A07EC04";"balsalazide";6.7500;"g";"O";"N/A";6750
"A07FA02";"saccharomyces boulardii";1.0000;"g";"O";"N/A";1000
"A07XA01";"albumin tannate";3.0000;"g";"O";"N/A";3000
"A08AA01";"phentermine";15.0000;"mg";"O";"N/A";15
"A08AA02";"fenfluramine";0.1200;"g";"O";"N/A";120
"A08AA03";"amfepramone";75.0000;"mg";"O";"N/A";75
"A08AA04";"dexfenfluramine";30.0000;"mg";"O";"N/A";30
"A08AA05";"mazindol";1.0000;"mg";"O";"N/A";1
"A08AA10";"sibutramine";10.0000;"mg";"O";"N/A";10
"A08AB01";"orlistat";0.3600;"g";"O";"N/A";360
"A08AX01";"rimonabant";20.0000;"mg";"O";"N/A";20
"A09AB01";"glutamic acid hydrochloride";1.5000;"g";"O";"N/A";1500
"A09AB02";"betaine hydrochloride";1.0000;"g";"O";"N/A";1000
"A09AB04";"citric acid";2.0000;"g";"O";"N/A";2000
"A10AB01";"insulin (human)";40.0000;"U";"P";"N/A";
"A10AB02";"insulin (beef)";40.0000;"U";"P";"N/A";
"A10AB03";"insulin (pork)";40.0000;"U";"P";"N/A";
"A10AB04";"insulin lispro";40.0000;"U";"P";"N/A";
"A10AB05";"insulin aspart";40.0000;"U";"P";"N/A";
"A10AB06";"insulin glulisine";40.0000;"U";"P";"N/A";
"A10AB30";"combinations";40.0000;"U";"P";"N/A";
"A10AC01";"insulin (human)";40.0000;"U";"P";"N/A";
"A10AC02";"insulin (beef)";40.0000;"U";"P";"N/A";
"A10AC03";"insulin (pork)";40.0000;"U";"P";"N/A";
"A10AC04";"insulin lispro";40.0000;"U";"P";"N/A";
"A10AC30";"combinations";40.0000;"U";"P";"N/A";
"A10AD01";"insulin (human)";40.0000;"U";"P";"N/A";
"A10AD02";"insulin (beef)";40.0000;"U";"P";"N/A";
"A10AD03";"insulin (pork)";40.0000;"U";"P";"N/A";
"A10AD04";"insulin lispro";40.0000;"U";"P";"N/A";
"A10AD05";"insulin aspart";40.0000;"U";"P";"N/A";
"A10AD06";"insulin degludec and insulin aspart";40.0000;"U";"P";"N/A";
"A10AE01";"insulin (human)";40.0000;"U";"P";"N/A";
"A10AE02";"insulin (beef)";40.0000;"U";"P";"N/A";
"A10AE03";"insulin (pork)";40.0000;"U";"P";"N/A";
"A10AE04";"insulin glargine";40.0000;"U";"P";"N/A";
"A10AE05";"insulin detemir";40.0000;"U";"P";"N/A";
"A10AE06";"insulin degludec";40.0000;"U";"P";"N/A";
"A10AE30";"combinations";40.0000;"U";"P";"N/A";
"A10AF01";"insulin (human)";15.0000;"mg";"Inhal";"N/A";15
"A10BA01";"phenformin";0.1000;"g";"O";"N/A";100
"A10BA02";"metformin";2.0000;"g";"O";"N/A";2000
"A10BA03";"buformin";0.2000;"g";"O";"N/A";200
"A10BB01";"glibenclamide";10.0000;"mg";"O";"N/A";10
"A10BB02";"chlorpropamide";0.3750;"g";"O";"N/A";375
"A10BB03";"tolbutamide";1.5000;"g";"O";"N/A";1500
"A10BB04";"glibornuride";38.0000;"mg";"O";"N/A";38
"A10BB05";"tolazamide";0.5000;"g";"O";"N/A";500
"A10BB06";"carbutamide";0.7500;"g";"O";"N/A";750
"A10BB07";"glipizide";10.0000;"mg";"O";"N/A";10
"A10BB08";"gliquidone";60.0000;"mg";"O";"N/A";60
"A10BB09";"gliclazide";60.0000;"mg";"O";"N/A";60
"A10BB12";"glimepiride";2.0000;"mg";"O";"N/A";2
"A10BB31";"acetohexamide";0.5000;"g";"O";"N/A";500
"A10BC01";"glymidine";1.0000;"g";"O";"N/A";1000
"A10BF01";"acarbose";0.3000;"g";"O";"N/A";300
"A10BF02";"miglitol";0.3000;"g";"O";"N/A";300
"A10BG01";"troglitazone";0.4000;"g";"O";"N/A";400
"A10BG02";"rosiglitazone";6.0000;"mg";"O";"N/A";6
"A10BG03";"pioglitazone";30.0000;"mg";"O";"N/A";30
"A10BH01";"sitagliptin";0.1000;"g";"O";"N/A";100
"A10BH02";"vildagliptin";0.1000;"g";"O";"N/A";100
"A10BH03";"saxagliptin";5.0000;"mg";"O";"N/A";5
"A10BH04";"alogliptin";25.0000;"mg";"O";"N/A";25
"A10BH05";"linagliptin";5.0000;"mg";"O";"N/A";5
"A10BH06";"gemigliptin";50.0000;"mg";"O";"N/A";50
"A10BJ01";"exenatide";15.0000;"mcg";"P";"N/A";0.015
"A10BJ02";"liraglutide";1.2000;"mg";"P";"N/A";1.2
"A10BJ03";"lixisenatide";20.0000;"mcg";"P";"N/A";0.02
"A10BJ04";"albiglutide";5.7000;"mg";"P";"N/A";5.7
"A10BJ05";"dulaglutide";0.1600;"mg";"P";"N/A";0.16
"A10BK01";"dapagliflozin";10.0000;"mg";"O";"N/A";10
"A10BK02";"canagliflozin";0.2000;"g";"O";"N/A";200
"A10BK03";"empagliflozin";17.5000;"mg";"O";"N/A";17.5
"A10BX02";"repaglinide";4.0000;"mg";"O";"N/A";4
"A10BX03";"nateglinide";0.3600;"g";"O";"N/A";360
"A10BX06";"benfluorex";0.4500;"g";"O";"N/A";450
"A10BX08";"mitiglinide";30.0000;"mg";"O";"N/A";30
"A11CA01";"retinol (vit A)";50.0000;"TU";"O";"N/A";
"A11CA01";"retinol (vit A)";50.0000;"TU";"P";"N/A";
"A11CC02";"dihydrotachysterol";1.0000;"mg";"O";"N/A";1
"A11CC03";"alfacalcidol";1.0000;"mcg";"O";"N/A";0.001
"A11CC03";"alfacalcidol";1.0000;"mcg";"P";"N/A";0.001
"A11CC04";"calcitriol";1.0000;"mcg";"O";"N/A";0.001
"A11CC04";"calcitriol";1.0000;"mcg";"P";"N/A";0.001
"A11CC05";"colecalciferol";20.0000;"mcg";"O";"N/A";0.02
"A11DA01";"thiamine (vit B1)";50.0000;"mg";"O";"N/A";50
"A11DA01";"thiamine (vit B1)";50.0000;"mg";"P";"N/A";50
"A11GA01";"ascorbic acid (vit C)";0.2000;"g";"O";"N/A";200
"A11GA01";"ascorbic acid (vit C)";0.2000;"g";"P";"N/A";200
"A11HA01";"nicotinamide";0.1500;"g";"O";"N/A";150
"A11HA02";"pyridoxine (vit B6)";0.1600;"g";"O";"N/A";160
"A11HA02";"pyridoxine (vit B6)";0.1600;"g";"P";"N/A";160
"A11HA03";"tocopherol (vit E)";0.2000;"g";"O";"N/A";200
"A11HA03";"tocopherol (vit E)";0.2000;"g";"P";"N/A";200
"A12AA01";"calcium phosphate";2.0000;"g";"O";"N/A";2000
"A12AA02";"calcium glubionate";2.7500;"g";"P";"N/A";2750
"A12AA03";"calcium gluconate";3.0000;"g";"O";"N/A";3000
"A12AA03";"calcium gluconate";3.0000;"g";"P";"N/A";3000
"A12AA04";"calcium carbonate";3.0000;"g";"O";"N/A";3000
"A12AA05";"calcium lactate";2.0000;"g";"O";"N/A";2000
"A12AA06";"calcium lactate gluconate";3.0000;"g";"O";"N/A";3000
"A12AA07";"calcium chloride";0.2000;"g";"P";"N/A";200
"A12AA09";"calcium citrate lysine complex";0.5000;"g";"O";"N/A";500
"A12AA10";"calcium glucoheptonate";3.0000;"g";"O";"N/A";3000
"A12AA30";"calcium laevulate";1.0000;"g";"P";"N/A";1000
"A12BA01";"potassium chloride";3.0000;"g";"O";"N/A";3000
"A12BA02";"potassium citrate";4.0000;"g";"O";"N/A";4000
"A12BA03";"potassium hydrogentartrate";7.5000;"g";"O";"N/A";7500
"A12BA04";"potassium hydrogencarbonate";4.0000;"g";"O";"N/A";4000
"A12CA01";"sodium chloride";1.0000;"g";"O";"N/A";1000
"A12CB01";"zinc sulfate";0.6000;"g";"O";"N/A";600
"A12CC01";"magnesium chloride";2.5000;"g";"O";"N/A";2500
"A12CC01";"magnesium chloride";0.8000;"g";"P";"N/A";800
"A12CC02";"magnesium sulfate";3.0000;"g";"O";"N/A";3000
"A12CC02";"magnesium sulfate";1.0000;"g";"P";"N/A";1000
"A12CC03";"magnesium gluconate";5.0000;"g";"O";"N/A";5000
"A12CC04";"magnesium citrate";2.0000;"g";"O";"N/A";2000
"A12CE02";"sodium selenite";0.2000;"mg";"P";"N/A";0.2
"A14AA02";"stanozolol";5.0000;"mg";"O";"N/A";5
"A14AA02";"stanozolol";3.5000;"mg";"P";"N/A";3.5
"A14AA03";"metandienone";5.0000;"mg";"O";"N/A";5
"A14AA04";"metenolone";10.0000;"mg";"O";"N/A";10
"A14AA04";"metenolone";7.0000;"mg";"P";"N/A";7
"A14AA05";"oxymetholone";0.2500;"g";"O";"N/A";250
"A14AB01";"nandrolone";2.0000;"mg";"P";"N/A";2
"A14AB02";"ethylestrenol";2.0000;"mg";"O";"N/A";2
"A16AA01";"levocarnitine";2.0000;"g";"O";"N/A";2000
"A16AA01";"levocarnitine";2.0000;"g";"P";"N/A";2000
"A16AA04";"mercaptamine";2.0000;"g";"O";"N/A";2000
"A16AA05";"carglumic acid";0.2000;"g";"O";"N/A";200
"A16AA06";"betaine";6.0000;"g";"O";"N/A";6000
"A16AB02";"imiglucerase";300.0000;"U";"P";"N/A";
"A16AB03";"agalsidase alfa";1.0000;"mg";"P";"N/A";1
"A16AB04";"agalsidase beta";5.0000;"mg";"P";"N/A";5
"A16AB05";"laronidase";1.0000;"TU";"P";"N/A";
"A16AB06";"sacrosidase";68.0000;"TU";"O";"N/A";
"A16AB07";"alglucosidase alfa";0.1000;"g";"P";"N/A";100
"A16AB10";"velaglucerase alfa";300.0000;"U";"P";"N/A";
"A16AB12";"elosulfase alfa";20.0000;"mg";"P";"N/A";20
"A16AB14";"sebelipase alfa";5.0000;"mg";"P";"N/A";5
"A16AX01";"thioctic acid";0.6000;"g";"O";"N/A";600
"A16AX01";"thioctic acid";0.6000;"g";"P";"N/A";600
"A16AX03";"sodium phenylbutyrate";20.0000;"g";"O";"N/A";20000
"A16AX04";"nitisinone";20.0000;"mg";"O";"N/A";20
"A16AX05";"zinc acetate";0.1500;"g";"O";"N/A";150
"A16AX06";"miglustat";0.3000;"g";"O";"N/A";300
"A16AX08";"teduglutide";5.0000;"mg";"P";"N/A";5
"A16AX10";"eliglustat";0.1680;"g";"O";"N/A";168
"B01AA01";"dicoumarol";0.1000;"g";"O";"N/A";100
"B01AA02";"phenindione";0.1000;"g";"O";"N/A";100
"B01AA03";"warfarin";7.5000;"mg";"O";"N/A";7.5
"B01AA03";"warfarin";7.5000;"mg";"P";"N/A";7.5
"B01AA04";"phenprocoumon";3.0000;"mg";"O";"N/A";3
"B01AA07";"acenocoumarol";5.0000;"mg";"O";"N/A";5
"B01AA08";"ethyl biscoumacetate";0.6000;"g";"O";"N/A";600
"B01AB01";"heparin";10.0000;"TU";"P";"N/A";
"B01AB02";"antithrombin III";2.1000;"TU";"P";"N/A";
"B01AB12";"bemiparin";2.5000;"TU";"P";"N/A";
"B01AC04";"clopidogrel";75.0000;"mg";"O";"N/A";75
"B01AC05";"ticlopidine";0.5000;"g";"O";"N/A";500
"B01AC07";"dipyridamole";0.4000;"g";"O";"N/A";400
"B01AC07";"dipyridamole";0.2000;"g";"P";"N/A";200
"B01AC08";"carbasalate calcium";1.0000;"tablet";"O";"N/A";
"B01AC11";"iloprost";0.1500;"mg";"Inhal";"N/A";0.15
"B01AC11";"iloprost";50.0000;"mcg";"P";"N/A";0.05
"B01AC13";"abciximab";25.0000;"mg";"P";"N/A";25
"B01AC16";"eptifibatide";0.2000;"g";"P";"N/A";200
"B01AC17";"tirofiban";10.0000;"mg";"P";"N/A";10
"B01AC18";"triflusal";0.6000;"g";"O";"N/A";600
"B01AC21";"treprostinil";4.3000;"mg";"P";"N/A";4.3
"B01AC22";"prasugrel";10.0000;"mg";"O";"N/A";10
"B01AC23";"cilostazol";0.2000;"g";"O";"N/A";200
"B01AC24";"ticagrelor";0.1800;"g";"O";"N/A";180
"B01AC25";"cangrelor";50.0000;"mg";"P";"N/A";50
"B01AD01";"streptokinase";1.5000;"MU";"P";"N/A";
"B01AD02";"alteplase";0.1000;"g";"P";"N/A";100
"B01AD03";"anistreplase";30.0000;"U";"P";"N/A";
"B01AD04";"urokinase";3.0000;"MU";"P";"N/A";
"B01AD07";"reteplase";20.0000;"U";"P";"N/A";
"B01AD10";"drotrecogin alfa (activated)";40.0000;"mg";"P";"N/A";40
"B01AD11";"tenecteplase";40.0000;"mg";"P";"N/A";40
"B01AE01";"desirudin";30.0000;"mg";"P";"N/A";30
"B01AE02";"lepirudin";0.2500;"g";"P";"N/A";250
"B01AE03";"argatroban";0.2000;"g";"P";"N/A";200
"B01AE04";"melagatran";6.0000;"mg";"P";"N/A";6
"B01AE05";"ximelagatran";48.0000;"mg";"O";"N/A";48
"B01AE06";"bivalirudin";0.2500;"g";"P";"N/A";250
"B01AE07";"dabigatran etexilate";0.3000;"g";"O";"N/A";300
"B01AF01";"rivaroxaban";20.0000;"mg";"O";"N/A";20
"B01AF02";"apixaban";10.0000;"mg";"O";"N/A";10
"B01AF03";"edoxaban";60.0000;"mg";"O";"N/A";60
"B01AX01";"defibrotide";1.7500;"g";"P";"N/A";1750
"B01AX05";"fondaparinux";2.5000;"mg";"P";"N/A";2.5
"B02AA01";"aminocaproic acid";16.0000;"g";"O";"N/A";16000
"B02AA01";"aminocaproic acid";16.0000;"g";"P";"N/A";16000
"B02AA02";"tranexamic acid";2.0000;"g";"O";"N/A";2000
"B02AA02";"tranexamic acid";2.0000;"g";"P";"N/A";2000
"B02AA03";"aminomethylbenzoic acid";0.2500;"g";"O";"N/A";250
"B02AB01";"aprotinin";500.0000;"TU";"P";"N/A";
"B02AB02";"alfa1 antitrypsin";0.6000;"g";"P";"N/A";600
"B02BA01";"phytomenadione";20.0000;"mg";"O";"N/A";20
"B02BA01";"phytomenadione";20.0000;"mg";"P";"N/A";20
"B02BA02";"menadione";10.0000;"mg";"O";"N/A";10
"B02BA02";"menadione";2.0000;"mg";"P";"N/A";2
"B02BB01";"fibrinogen, human";5.0000;"g";"P";"N/A";5000
"B02BX04";"romiplostim";30.0000;"mcg";"P";"N/A";0.03
"B02BX05";"eltrombopag";50.0000;"mg";"O";"N/A";50
"B03BA01";"cyanocobalamin";70.0000;"mcg";"N";"N/A";0.07
"B03BA01";"cyanocobalamin";1.0000;"mg";"O";"N/A";1
"B03BA01";"cyanocobalamin";20.0000;"mcg";"P";"N/A";0.02
"B03BA02";"cyanocobalamin tannin complex";20.0000;"mcg";"P";"N/A";0.02
"B03BA03";"hydroxocobalamin";20.0000;"mcg";"P";"N/A";0.02
"B03BA05";"mecobalamin";1.5000;"mg";"O";"N/A";1.5
"B03BA05";"mecobalamin";0.2000;"mg";"P";"N/A";0.2
"B03XA01";"erythropoietin";1.0000;"TU";"P";"N/A";
"B03XA02";"darbepoetin alfa";4.5000;"mcg";"P";"N/A";0.0045
"B03XA03";"methoxy polyethylene glycol-epoetin beta";4.0000;"mcg";"P";"N/A";0.004
"B06AC01";"c1-inhibitor, plasma derived";1.4000;"TU";"P";"N/A";
"B06AC02";"icatibant";30.0000;"mg";"P";"N/A";30
"B06AC04";"conestat alfa";3.5000;"TU";"P";"N/A";
"C01AA01";"acetyldigitoxin";0.2000;"mg";"O";"N/A";0.2
"C01AA02";"acetyldigoxin";0.5000;"mg";"O";"N/A";0.5
"C01AA03";"digitalis leaves";0.1000;"g";"O";"N/A";100
"C01AA04";"digitoxin";0.1000;"mg";"O";"N/A";0.1
"C01AA04";"digitoxin";0.1000;"mg";"P";"N/A";0.1
"C01AA05";"digoxin";0.2500;"mg";"O";"N/A";0.25
"C01AA05";"digoxin";0.2500;"mg";"P";"N/A";0.25
"C01AA06";"lanatoside C";1.0000;"mg";"O";"N/A";1
"C01AA06";"lanatoside C";1.0000;"mg";"R";"N/A";1
"C01AA08";"metildigoxin";0.2000;"mg";"O";"N/A";0.2
"C01AA08";"metildigoxin";0.2000;"mg";"P";"N/A";0.2
"C01AB01";"proscillaridin";0.7500;"mg";"O";"N/A";0.75
"C01AC01";"g-strophanthin";0.2500;"mg";"P";"N/A";0.25
"C01AC03";"cymarin";2.5000;"mg";"O";"N/A";2.5
"C01BA01";"quinidine";1.2000;"g";"O";"N/A";1200
"C01BA02";"procainamide";3.0000;"g";"O";"N/A";3000
"C01BA02";"procainamide";3.0000;"g";"P";"N/A";3000
"C01BA03";"disopyramide";0.4000;"g";"O";"N/A";400
"C01BA03";"disopyramide";0.4000;"g";"P";"N/A";400
"C01BA04";"sparteine";0.2000;"g";"P";"N/A";200
"C01BA05";"ajmaline";0.3000;"g";"O";"N/A";300
"C01BA08";"prajmaline";30.0000;"mg";"O";"N/A";30
"C01BA12";"lorajmine";0.3000;"g";"O";"N/A";300
"C01BB01";"lidocaine";3.0000;"g";"P";"N/A";3000
"C01BB02";"mexiletine";0.8000;"g";"O";"N/A";800
"C01BB02";"mexiletine";0.8000;"g";"P";"N/A";800
"C01BB03";"tocainide";1.2000;"g";"O";"N/A";1200
"C01BB03";"tocainide";1.2000;"g";"P";"N/A";1200
"C01BB04";"aprindine";0.1000;"g";"O";"N/A";100
"C01BB04";"aprindine";0.1000;"g";"P";"N/A";100
"C01BC03";"propafenone";0.3000;"g";"O";"N/A";300
"C01BC03";"propafenone";0.3000;"g";"P";"N/A";300
"C01BC04";"flecainide";0.2000;"g";"O";"N/A";200
"C01BC04";"flecainide";0.2000;"g";"P";"N/A";200
"C01BC07";"lorcainide";0.2000;"g";"P";"N/A";200
"C01BC08";"encainide";0.1000;"g";"O";"N/A";100
"C01BD01";"amiodarone";0.2000;"g";"O";"N/A";200
"C01BD01";"amiodarone";0.2000;"g";"P";"N/A";200
"C01BD05";"ibutilide";1.0000;"mg";"P";"N/A";1
"C01BD07";"dronedarone";0.8000;"g";"O";"N/A";800
"C01BG01";"moracizine";0.7500;"g";"O";"N/A";750
"C01BG11";"vernakalant";0.2000;"g";"P";"N/A";200
"C01CA01";"etilefrine";50.0000;"mg";"O";"N/A";50
"C01CA01";"etilefrine";50.0000;"mg";"P";"N/A";50
"C01CA02";"isoprenaline";90.0000;"mg";"O";"N/A";90
"C01CA02";"isoprenaline";90.0000;"mg";"P";"N/A";90
"C01CA03";"norepinephrine";6.0000;"mg";"P";"N/A";6
"C01CA04";"dopamine";0.5000;"g";"P";"N/A";500
"C01CA05";"norfenefrine";25.0000;"mg";"O";"N/A";25
"C01CA06";"phenylephrine";4.0000;"mg";"P";"N/A";4
"C01CA07";"dobutamine";0.5000;"g";"P";"N/A";500
"C01CA08";"oxedrine";0.2000;"g";"O";"N/A";200
"C01CA08";"oxedrine";0.2000;"g";"P";"N/A";200
"C01CA09";"metaraminol";50.0000;"mg";"P";"N/A";50
"C01CA10";"methoxamine";30.0000;"mg";"P";"N/A";30
"C01CA11";"mephentermine";30.0000;"mg";"P";"N/A";30
"C01CA13";"prenalterol";10.0000;"mg";"P";"N/A";10
"C01CA14";"dopexamine";0.5000;"g";"P";"N/A";500
"C01CA15";"gepefrine";30.0000;"mg";"O";"N/A";30
"C01CA16";"ibopamine";0.3000;"g";"O";"N/A";300
"C01CA17";"midodrine";30.0000;"mg";"O";"N/A";30
"C01CA24";"epinephrine";0.5000;"mg";"P";"N/A";0.5
"C01CA25";"amezinium metilsulfate";30.0000;"mg";"O";"N/A";30
"C01CA26";"ephedrine";50.0000;"mg";"P";"N/A";50
"C01CE01";"amrinone";0.5000;"g";"P";"N/A";500
"C01CE02";"milrinone";50.0000;"mg";"P";"N/A";50
"C01CE03";"enoximone";1.0000;"g";"P";"N/A";1000
"C01CX06";"angiotensinamide";5.0000;"mg";"P";"N/A";5
"C01CX07";"xamoterol";0.4000;"g";"O";"N/A";400
"C01CX08";"levosimendan";11.0000;"mg";"P";"N/A";11
"C01DA02";"glyceryl trinitrate";5.0000;"mg";"O";"N/A";5
"C01DA02";"glyceryl trinitrate";2.5000;"mg";"oral aerosol";"N/A";2.5
"C01DA02";"glyceryl trinitrate";2.5000;"mg";"SL";"N/A";2.5
"C01DA02";"glyceryl trinitrate";5.0000;"mg";"TD";"N/A";5
"C01DA05";"pentaerithrityl tetranitrate";0.1200;"g";"O";"N/A";120
"C01DA07";"propatylnitrate";30.0000;"mg";"O";"N/A";30
"C01DA08";"isosorbide dinitrate";60.0000;"mg";"O";"N/A";60
"C01DA08";"isosorbide dinitrate";20.0000;"mg";"oral aerosol";"N/A";20
"C01DA08";"isosorbide dinitrate";20.0000;"mg";"SL";"N/A";20
"C01DA08";"isosorbide dinitrate";0.1000;"g";"TD";"N/A";100
"C01DA09";"trolnitrate";20.0000;"mg";"O";"N/A";20
"C01DA13";"eritrityl tetranitrate";90.0000;"mg";"O";"N/A";90
"C01DA14";"isosorbide mononitrate";40.0000;"mg";"O";"N/A";40
"C01DX02";"prenylamine";0.1200;"g";"O";"N/A";120
"C01DX03";"oxyfedrine";40.0000;"mg";"O";"N/A";40
"C01DX03";"oxyfedrine";40.0000;"mg";"P";"N/A";40
"C01DX04";"benziodarone";0.2500;"g";"O";"N/A";250
"C01DX07";"etafenone";0.2250;"g";"O";"N/A";225
"C01DX08";"heptaminol";0.4500;"g";"O";"N/A";450
"C01DX08";"heptaminol";0.4500;"g";"P";"N/A";450
"C01DX09";"imolamine";90.0000;"mg";"O";"N/A";90
"C01DX10";"dilazep";0.1000;"g";"O";"N/A";100
"C01DX13";"efloxate";0.2000;"g";"O";"N/A";200
"C01DX14";"cinepazet";0.9000;"g";"O";"N/A";900
"C01DX16";"nicorandil";40.0000;"mg";"O";"N/A";40
"C01DX19";"nesiritide";1.5000;"mg";"P";"N/A";1.5
"C01EA01";"alprostadil";0.5000;"mg";"P";"N/A";0.5
"C01EB02";"camphora";0.1500;"g";"O";"N/A";150
"C01EB10";"adenosine";15.0000;"mg";"P";"N/A";15
"C01EB15";"trimetazidine";40.0000;"mg";"O";"N/A";40
"C01EB16";"ibuprofen";30.0000;"mg";"P";"N/A";30
"C01EB17";"ivabradine";10.0000;"mg";"O";"N/A";10
"C01EB18";"ranolazine";1.5000;"g";"O";"N/A";1500
"C01EB21";"regadenoson";0.4000;"mg";"P";"N/A";0.4
"C02AA02";"reserpine";0.5000;"mg";"O";"N/A";0.5
"C02AA02";"reserpine";0.5000;"mg";"P";"N/A";0.5
"C02AA07";"bietaserpine";15.0000;"mg";"O";"N/A";15
"C02AB01";"methyldopa (levorotatory)";1.0000;"g";"O";"N/A";1000
"C02AB01";"methyldopa (levorotatory)";1.0000;"g";"P";"N/A";1000
"C02AB02";"methyldopa (racemic)";2.0000;"g";"O";"N/A";2000
"C02AC01";"clonidine";0.4500;"mg";"O";"N/A";0.45
"C02AC01";"clonidine";0.4500;"mg";"P";"N/A";0.45
"C02AC02";"guanfacine";3.0000;"mg";"O";"N/A";3
"C02AC04";"tolonidine";0.7500;"mg";"O";"N/A";0.75
"C02AC05";"moxonidine";0.3000;"mg";"O";"N/A";0.3
"C02BA01";"trimetaphan";0.2500;"g";"P";"N/A";250
"C02CA01";"prazosin";5.0000;"mg";"O";"N/A";5
"C02CA03";"trimazosin";0.3000;"g";"O";"N/A";300
"C02CA04";"doxazosin";4.0000;"mg";"O";"N/A";4
"C02CA06";"urapidil";0.1200;"g";"O";"N/A";120
"C02CA06";"urapidil";50.0000;"mg";"P";"N/A";50
"C02CC01";"betanidine";0.1000;"g";"O";"N/A";100
"C02CC02";"guanethidine";30.0000;"mg";"O";"N/A";30
"C02CC03";"guanoxan";20.0000;"mg";"O";"N/A";20
"C02CC04";"debrisoquine";20.0000;"mg";"O";"N/A";20
"C02CC07";"guanoxabenz";25.0000;"mg";"O";"N/A";25
"C02DA01";"diazoxide";0.3000;"g";"P";"N/A";300
"C02DB01";"dihydralazine";75.0000;"mg";"O";"N/A";75
"C02DB01";"dihydralazine";25.0000;"mg";"P";"N/A";25
"C02DB02";"hydralazine";0.1000;"g";"O";"N/A";100
"C02DB03";"endralazine";10.0000;"mg";"O";"N/A";10
"C02DB04";"cadralazine";15.0000;"mg";"O";"N/A";15
"C02DC01";"minoxidil";20.0000;"mg";"O";"N/A";20
"C02DD01";"nitroprusside";50.0000;"mg";"P";"N/A";50
"C02DG01";"pinacidil";50.0000;"mg";"O";"N/A";50
"C02KD01";"ketanserin";40.0000;"mg";"O";"N/A";40
"C02KD01";"ketanserin";40.0000;"mg";"P";"N/A";40
"C02KX01";"bosentan";0.2500;"g";"O";"N/A";250
"C02KX02";"ambrisentan";7.5000;"mg";"O";"N/A";7.5
"C02KX03";"sitaxentan";0.1000;"g";"O";"N/A";100
"C02KX04";"macitentan";10.0000;"mg";"O";"N/A";10
"C02KX05";"riociguat";4.5000;"mg";"O";"N/A";4.5
"C03AA01";"bendroflumethiazide";2.5000;"mg";"O";"N/A";2.5
"C03AA02";"hydroflumethiazide";25.0000;"mg";"O";"N/A";25
"C03AA03";"hydrochlorothiazide";25.0000;"mg";"O";"N/A";25
"C03AA04";"chlorothiazide";0.5000;"g";"O";"N/A";500
"C03AA05";"polythiazide";1.0000;"mg";"O";"N/A";1
"C03AA06";"trichlormethiazide";4.0000;"mg";"O";"N/A";4
"C03AA07";"cyclopenthiazide";0.5000;"mg";"O";"N/A";0.5
"C03AA08";"methyclothiazide";5.0000;"mg";"O";"N/A";5
"C03AA09";"cyclothiazide";5.0000;"mg";"O";"N/A";5
"C03BA02";"quinethazone";50.0000;"mg";"O";"N/A";50
"C03BA03";"clopamide";10.0000;"mg";"O";"N/A";10
"C03BA04";"chlortalidone";25.0000;"mg";"O";"N/A";25
"C03BA05";"mefruside";25.0000;"mg";"O";"N/A";25
"C03BA08";"metolazone";5.0000;"mg";"O";"N/A";5
"C03BA10";"xipamide";20.0000;"mg";"O";"N/A";20
"C03BA11";"indapamide";2.5000;"mg";"O";"N/A";2.5
"C03BD01";"theobromine";4.0000;"g";"O";"N/A";4000
"C03CA01";"furosemide";40.0000;"mg";"O";"N/A";40
"C03CA01";"furosemide";40.0000;"mg";"P";"N/A";40
"C03CA02";"bumetanide";1.0000;"mg";"O";"N/A";1
"C03CA02";"bumetanide";1.0000;"mg";"P";"N/A";1
"C03CA04";"torasemide";15.0000;"mg";"O";"N/A";15
"C03CA04";"torasemide";15.0000;"mg";"P";"N/A";15
"C03CC01";"etacrynic acid";50.0000;"mg";"O";"N/A";50
"C03CC01";"etacrynic acid";50.0000;"mg";"P";"N/A";50
"C03CD01";"muzolimine";20.0000;"mg";"O";"N/A";20
"C03DA01";"spironolactone";75.0000;"mg";"O";"N/A";75
"C03DA02";"potassium canrenoate";0.4000;"g";"P";"N/A";400
"C03DA04";"eplerenone";50.0000;"mg";"O";"N/A";50
"C03DB01";"amiloride";10.0000;"mg";"O";"N/A";10
"C03DB02";"triamterene";0.1000;"g";"O";"N/A";100
"C03XA01";"tolvaptan";30.0000;"mg";"O";"N/A";30
"C04AA01";"isoxsuprine";60.0000;"mg";"O";"N/A";60
"C04AA01";"isoxsuprine";60.0000;"mg";"P";"N/A";60
"C04AA02";"buphenine";30.0000;"mg";"O";"N/A";30
"C04AA31";"bamethan";75.0000;"mg";"O";"N/A";75
