drug1	drug2
Methotrexate	 CLOZAPINE  
Methotrexate	 CICLOSPORIN 
Methotrexate	 CISPLATIN 
Methotrexate	 LEFLUNOMIDE 
Methotrexate	 ACITRETIN  
Methylthioninium	 SSRIS  
Methylthioninium	 MIRTAZAPINE 
Methylthioninium	 BUSPIRONE 
Methylthioninium	 BUPROPION 
Metoclopramide	 CICLOSPORIN 
Metronidazole	 COUMARINS 
Metronidazole	 TEGAFUR  
Mirtazapine	 ALCOHOL 
Mirtazapine	 MOCLOBEMIDE  
Mirtazapine	 ARTENIMOL WITH PIPERAQUINE 
Mirtazapine	 METHYLTHIONINIUM 
Mitomycin	 CLOZAPINE  
Mitotane	 COUMARINS 
Mitotane	 CLOZAPINE  
Mitoxantrone	 CLOZAPINE  
Mitoxantrone	 OPIOID ANALGESICS 
Mitoxantrone	 FLUVOXAMINE 
Mitoxantrone	 TRICYCLIC- 
Mitoxantrone	 DULOXETINE 
Mitoxantrone	 ARTENIMOL WITH PIPERAQUINE 
Mitoxantrone	 BUPROPION 
Mitoxantrone	 CLOPIDOGREL 
Mitoxantrone	 SELEGILINE 
Mitoxantrone	 ZOLMITRIPTAN  
Mitoxantrone	 SYMPATHOMIMETICS 
Modafinil	 CICLOSPORIN 
Modafinil	 BOSUTINIB 
Modafinil	 OESTROGENS  
Moxisylyte	 ALPHA-BLOCKERS 
Moxisylyte	 BETA-BLOCKERS 
Muscle Relaxants	 VOLATILE LIQUID GENERAL ANAESTHETICS 
Muscle Relaxants	 CLINDAMYCIN 
Muscle Relaxants	 POLYMYXINS 
Muscle Relaxants	 VANCOMYCIN 
Muscle Relaxants	 TRICYCLICS 
Muscle Relaxants	 CARBAMAZEPINE  
Muscle Relaxants	 PHENYTOIN  
Mycophenolate	 RIFAMPICIN 
Nalmefene	  Naproxen  
Natalizumub	 CLOZAPINE  
Natalizumub	 VACCINES 
Nefopam	 TRICYCLICS 
Nevirapine	 RIFAMPICIN 
Nevirapine	 WARFARIN 
Nevirapine	 FLUCONAZOLE 
Nevirapine	 ITRACONAZOLE 
Nevirapine	 ARIPIPRAZOLE  
Nevirapine	 FOSAMPRENAVIR 
Nevirapine	 ZIDOVUDINE 
Nevirapine	 OESTROGENS  
Nevirapine	 ORLISTAT 
Nevirapine	 PROGESTOGENS  
Nicorandil	 AVANAFIL  
Nicorandil	 SILDENAFIL  
Nicorandil	 TADALAFIL  
Nicorandil	 VARDENAFIL 
Nicotinic Acid	 STATINS  
Nilotinib	 RIFAMPICIN 
Nilotinib	 VORICONAZOLE 
Nilotinib	 CLOZAPINE  
Nilotinib	 RITONAVIR 
Nilotinib	 GRAPEFRUIT JUICE 
Nintedanib	 RIFAMPICIN 
Nintedanib	 KETOCONAZOLE 
Nitrates	 HEPARINS 
Nitrates	 AVANAFIL  
Nitrates	 RIOCIGUAT 
Nitrates	 SILDENAFIL  
Nitrates	 TADALAFIL  
Nitrates	 VARDENAFIL 
NSAIDs	 ASPIRIN 
NSAIDs	 QUINOLONES 
NSAIDs	 ANTICOAGULANTS  
NSAIDs	 HEPARINS 
NSAIDs	 VENLAFAXINE 
NSAIDs	 SULFONYLUREAS 
Obinutuzumab	 CLOZAPINE  
Obinutuzumab	 VACCINES 
Octreotide	 CICLOSPORIN 
Oestrogens	 RIFAMYCINS  
Oestrogens	 PHENINDIONE 
Oestrogens	 TRICYCLICS  
Oestrogens	 FOSPHENYTOIN 
Oestrogens	 PRIMIDONE 
Oestrogens	 VALPROIC ACID 
Oestrogens	 ATAZANAVIR 
Oestrogens	 TELAPREVIR 
Ofatumumab	 CLOZAPINE  
Ofatumumab	 VACCINES 
Opioid Analgesics	 RIFAMPICIN 
Opioid Analgesics	 TELITHROMYCIN 
Opioid Analgesics	 TELITHROMYCIN 
Opioid Analgesics	 COUMARINS 
Opioid Analgesics	 PAROXETINE  
Opioid Analgesics	 MAOIS 
Opioid Analgesics	 MOCLOBEMIDE 
Opioid Analgesics	 TRICYCLICS 
Opioid Analgesics	 PRIMIDONE 
Opioid Analgesics	 GABAPENTIN 
Opioid Analgesics	 FLUCONAZOLE  
Opioid Analgesics	 ITRACONAZOLE 
Opioid Analgesics	 TRIAZOLES 
Opioid Analgesics	 SEDATING ANTIHISTAMINES 
Opioid Analgesics	 ARTENIMOL WITH PIPERAQUINE  
Opioid Analgesics	 AMISULPRIDE 
Opioid Analgesics	 RITONAVIR 
Opioid Analgesics	 ZIDOVUDINE 
Opioid Analgesics	 ATOMOXETINE 
Opioid Analgesics	 BOSUTINIB 
Opioid Analgesics	 VANDETANIB 
Opioid Analgesics	 DAPOXETINE  
Opioid Analgesics	 SELEGILINE  
Orlistat	 ANTIEPILEPTICS 
Orlistat	 ABACAVIR 
Orlistat	 EFAVIRENZ 
Orlistat	 ETRAVIRINE 
Orlistat	 TENOFOVIR 
Orlistat	 ZIDOVUDINE 
Orlistat	 CICLOSPORIN 
Oxcarbazepine	 TRICYCLICS  
Oxcarbazepine	 PRIMIDONE 
Oxcarbazepine	 PERAMPANEL  
Oxcarbazepine	 VALPROIC ACID 
Oxcarbazepine	 MEFLOQUINE 
Oxcarbazepine	 ANTIPSYCHOTICS  
Oxcarbazepine	 SIMEPREVIR 
Oxcarbazepine	 RILPIVIRINE  
Oxcarbazepine	 CLOPIDOGREL 
Oxcarbazepine	 IMATINIB 
Oxcarbazepine	 OESTROGENS  
Oxcarbazepine	 ORLISTAT 
Oxcarbazepine	 PROGESTOGENS  
Paclitaxel	 CLOZAPINE  
Paclitaxel	 LAPATINIB 
Panitumumab	 CLOZAPINE  
Panitumumab	 VACCINES 
Paraldehyde	 ALCOHOL 
Paraldehyde	 DISULFIRAM 
Parasympathomimetics	 CLINDAMYCIN 
Parasympathomimetics	 POLYMYXINS 
Pasireotide	 CICLOSPORIN 
Pazopanib	 RIFAMPICIN 
Pazopanib	 KETOCONAZOLE  
Pazopanib	 VORICONAZOLE  
Pazopanib	 CLOZAPINE  
Pazopanib	 BOCEPREVIR 
Pazopanib	 SAQUINAVIR 
Pemetrexed	 PYRIMETHAMINE 
Pemetrexed	 CLOZAPINE  
Penicillamine	 CLOZAPINE  
Penicillins	 VALPROIC ACID 
Pentamidine Isetionate	 AMIODARONE 
Pentamidine Isetionate	 DISOPYRAMIDE 
Pentamidine Isetionate	 MOXIFLOXACIN 
Pentamidine Isetionate	 DELAMANID 
Pentamidine Isetionate	 TELITHROMYCIN 
Pentamidine Isetionate	 ESCITALOPRAM  
Pentamidine Isetionate	 TRICYCLICS 
Pentamidine Isetionate	 ARTENIMOL WITH PIPERAQUINE  
Pentamidine Isetionate	 AMISULPRIDE  
Pentamidine Isetionate	 PHENOTHIAZINES 
Pentamidine Isetionate	 SAQUINAVIR 
Pentamidine Isetionate	 VANDETANIB 
Pentamidine Isetionate	 IVABRADINE 
Pentostatin	 CLOZAPINE  
Pentostatin	 FLUDARABINE  
Pentoxifylline	 KETOROLAC  
Perampanel	 TRICYCLICS  
Perampanel	 OXCARBAZEPINE  
Perampanel	 TOPIRAMATE 
Perampanel	 MEFLOQUINE 
Perampanel	 ANTIPSYCHOTICS  
Perampanel	 ORLISTAT 
Perampanel	 PROGESTOGENS  
Pertuzumab	 CLOZAPINE  
Pertuzumab	 VACCINES 
Phenindione	 ALCOHOL 
Phenindione	 ANABOLIC STEROIDS 
Phenindione	 DICLOFENAC  
Phenindione	 ASPIRIN  
Phenindione	 DRONEDARONE 
Phenindione	 TETRACYCLINES 
Phenindione	 SULFONAMIDES 
Phenindione	 RIVAROXABAN  
Phenindione	 RITONAVIR 
Phenindione	 CLOPIDOGREL 
Phenindione	 DIPYRIDAMOLE 
Phenindione	 ENTERAL FEEDS  
Phenindione	 FIBRATES 
Phenobarbital	 AMINOPHYLLINE  
Phenobarbital	 PRAZIQUANTEL 
Phenobarbital	 PROPAFENONE 
Phenobarbital	 TELITHROMYCIN  
Phenobarbital	 COUMARINS  
Phenobarbital	 RIVAROXABAN 
Phenobarbital	 TRICYCLIC-RELATED ANTIDEPRESSANTS 
Phenobarbital	 TRICYCLICS  
Phenobarbital	 STIRIPENTOL 
Phenobarbital	 POSACONAZOLE 
Phenobarbital	 GRISEOFULVIN  
Phenobarbital	 MEFLOQUINE 
Phenobarbital	 LURASIDONE 
Phenobarbital	 SAQUINAVIR 
Phenobarbital	 TELAPREVIR 
Phenobarbital	 ISRADIPINE 
Phenobarbital	 NIMODIPINE  
Phenobarbital	 CANNABIS EXTRACT 
Phenobarbital	 CICLOSPORIN  
Phenobarbital	 COBICISTAT 
Phenobarbital	 CORTICOSTEROIDS  
Phenobarbital	 PONATINIB 
Phenobarbital	 IRINOTECAN  
Phenobarbital	 PROCARBAZINE 
Phenobarbital	 CARBONIC ANHYDRASE INHIBITORS 
Phenobarbital	 TOREMIFENE  
Phenobarbital	 IVACAFTOR 
Phenobarbital	 OESTROGENS  
Phenobarbital	 ORLISTAT 
Phenobarbital	 PROGESTOGENS  
Phenobarbital	 TACROLIMUS 
Phenobarbital	 THEOPHYLLINE  
Phenobarbital	 ULIPRISTAL  
Phenytoin	 AMINOPHYLLINE 
Phenytoin	 ASPIRIN 
Phenytoin	 PARACETAMOL  
Phenytoin	 LEVAMISOLE 
Phenytoin	 DRONEDARONE 
Phenytoin	 BEDAQUILINE 
Phenytoin	 ISONIAZID  
Phenytoin	 TELITHROMYCIN  
Phenytoin	 TRIMETHOPRIM  
Phenytoin	 RIVAROXABAN 
Phenytoin	 TRICYCLICS 
Phenytoin	 ESLICARBAZEPINE 
Phenytoin	 ZONISAMIDE 
Phenytoin	 PERAMPANEL  
Phenytoin	 RETIGABINE 
Phenytoin	 VIGABATRIN 
Phenytoin	 CASPOFUNGIN 
Phenytoin	 MEFLOQUINE 
Phenytoin	 PYRIMETHAMINE 
Phenytoin	 LURASIDONE 
Phenytoin	 SAQUINAVIR 
Phenytoin	 ZIDOVUDINE 
Phenytoin	 NIMODIPINE  
Phenytoin	 DILTIAZEM  
Phenytoin	 CANNABIS EXTRACT 
Phenytoin	 CICLOSPORIN  
Phenytoin	 COBICISTAT 
Phenytoin	 CORTICOSTEROIDS  
Phenytoin	 BORTEZOMIB 
Phenytoin	 IDELALISIB  
Phenytoin	 CABOZANTINIB 
Phenytoin	 LAPATINIB  
Phenytoin	 PROCARBAZINE 
Phenytoin	 DEXRAZOXANE 
Phenytoin	 DISULFIRAM  
Phenytoin	 FUROSEMIDE 
Phenytoin	 CARBONIC ANHYDRASE INHIBITORS 
Phenytoin	 TOREMIFENE 
Phenytoin	 IVACAFTOR 
Phosphodiesterase Type-3 Inhibitors	 ANAGRELIDE 
Pirfenidone	 CIPROFLOXACIN 
Pirfenidone	 FLUVOXAMINE 
Pixantrone	 CLOZAPINE  
Pixantrone	 VACCINES 
Platinum Compounds	 ALDESLEUKIN 
Platinum Compounds	 VANCOMYCIN 
Platinum Compounds	 CLOZAPINE  
Platinum Compounds	 METHOTREXATE 
Polymyxins	 CICLOSPORIN 
Polymyxins	 PLATINUM COMPOUNDS 
Polymyxins	 LOOP DIURETICS 
Polymyxins	 NON- 
Polymyxins	 SUXAMETHONIUM 
Polymyxins	 PYRIDOSTIGMINE 
Pomalidomide	 FLUVOXAMINE 
Ponatinib	 TELITHROMYCIN 
Ponatinib	 RIFAMPICIN 
Potassium Salts	 ACE INHIBITORS 
Potassium Salts	 ANGIOTENSIN-II RECEPTOR ANTAGONISTS 
Potassium Salts	 CICLOSPORIN 
Potassium Salts	 POTASSIUM-SPARING DIURETICS AND ALDOSTERONE ANTAGONISTS 
Potassium Salts	 TACROLIMUS 
Praziquantel	 RIFAMPICIN 
Praziquantel	 PHENOBARBITAL 
Praziquantel	 PRIMIDONE 
Pregabalin	 TRICYCLICS  
Pregabalin	 MEFLOQUINE 
Pregabalin	 ANTIPSYCHOTICS  
Pregabalin	 ORLISTAT 
Primaquine	 ARTEMETHER WITH LUMEFANTRINE 
Primidone	 AMINOPHYLLINE  
Primidone	 PRAZIQUANTEL 
Primidone	 PROPAFENONE 
Primidone	 DOXYCYCLINE  
Primidone	 TELITHROMYCIN  
Primidone	 COUMARINS  
Primidone	 RIVAROXABAN 
Primidone	 MIANSERIN  
Primidone	 TRICYCLIC-RELATED ANTIDEPRESSANTS 
Primidone	 TRICYCLICS  
Primidone	 STIRIPENTOL 
Primidone	 GRISEOFULVIN  
Primidone	 MEFLOQUINE 
Primidone	 LURASIDONE 
Primidone	 INDINAVIR 
Primidone	 TELAPREVIR 
Primidone	 NIMODIPINE  
Primidone	 CANNABIS EXTRACT 
Procarbazine	 CLOZAPINE  
Progestogens	 RIFAMYCINS  
Progestogens	 PHENINDIONE 
Progestogens	 FOSPHENYTOIN 
Progestogens	 PHENOBARBITAL 
Progestogens	 TOPIRAMATE 
Progestogens	 LAMOTRIGINE 
Progestogens	 ATAZANAVIR 
Progestogens	 BOCEPREVIR  
Progestogens	 NEVIRAPINE  
Progestogens	 APREPITANT  
Progestogens	 BOSENTAN  
Proguanil	 PYRIMETHAMINE 
Propafenone	 ANTI-ARRHYTHMICS 
Propafenone	 RIFAMPICIN  
Propafenone	 COUMARINS 
Propafenone	 TRICYCLICS 
Propafenone	 ANTIPSYCHOTICS  
Propafenone	 SAQUINAVIR 
Propafenone	 TELAPREVIR  
Propafenone	 PROPRANOLOL 
Propafenone	 DIGOXIN  
Propafenone	 CIMETIDINE 
Proton Pump Inhibitors	 COUMARINS 
Proton Pump Inhibitors	 PHENYTOIN 
Proton Pump Inhibitors	 POSACONAZOLE 
Proton Pump Inhibitors	 VORICONAZOLE  
Proton Pump Inhibitors	 TIPRANAVIR 
Proton Pump Inhibitors	 CILOSTAZOL  
Proton Pump Inhibitors	 CLOPIDOGREL 
Proton Pump Inhibitors	 LAPATINIB 
Proton Pump Inhibitors	 PAZOPANIB 
Pyrimethamine	 TRIMETHOPRIM 
Pyrimethamine	 PHENYTOIN 
Pyrimethamine	 PROGUANIL 
Quinine	 FLECAINIDE 
Quinine	 RIFAMPICIN 
Quinine	 ESCITALOPRAM 
Quinine	 ARTEMETHER WITH LUMEFANTRINE 
Quinine	 MEFLOQUINE  
Quinine	 RISPERIDONE 
Quinine	 INDINAVIR 
Quinine	 SAQUINAVIR 
Quinine	 DIGOXIN 
Quinolones	 AMINOPHYLLINE 
Quinolones	 AMINOPHYLLINE 
Quinolones	 NSAIDS 
Quinolones	 AMIODARONE 
Quinolones	 DISOPYRAMIDE 
Quinolones	 ERYTHROMYCIN 
Quinolones	 NITROFURANTOIN 
Quinolones	 TELITHROMYCIN 
Quinolones	 PHENINDIONE 
Quinolones	 TRICYCLICS 
Quinolones	 MIZOLASTINE 
Quinolones	 HYDROXYCHLOROQUINE 
Quinolones	 QUININE 
Quinolones	 BENPERIDOL 
Quinolones	 PIMOZIDE 
Quinolones	 OLANZAPINE 
Quinolones	 SAQUINAVIR 
Quinolones	 ATOMOXETINE 
Quinolones	 SOTALOL 
Quinolones	 CICLOSPORIN 
Quinolones	 CLOPIDOGREL 
Quinolones	 METHOTREXATE  
Quinolones	 IBRUTINIB 
Quinolones	 ARSENIC TRIOXIDE 
Raltegravir	 RIFAMPICIN 
Raltegravir	 FOSAMPRENAVIR 
Raltegravir	 ORLISTAT 
Raltitrexed	 CLOZAPINE  
Raltitrexed	 FOLATES 
Ranolazine	 DISOPYRAMIDE 
Rasagiline	 PETHIDINE  
Rasagiline	 MAOIS 
Rasagiline	 TRICYCLICS 
Rasagiline	 SYMPATHOMIMETICS 
Reboxetine	 MACROLIDES 
Reboxetine	 MAOIS  
Reboxetine	 TRIAZOLES 
Regorafenib	 RIFAMPICIN 
Regorafenib	 WARFARIN 
Regorafenib	 KETOCONAZOLE 
Regorafenib	 CLOZAPINE  
Retigabine	 TRICYCLICS  
Retigabine	 MEFLOQUINE 
Retigabine	 ANTIPSYCHOTICS  
Retigabine	 ORLISTAT 
Retinoids	 ALCOHOL  
Retinoids	 TETRACYCLINES  
Retinoids	 COUMARINS 
Retinoids	 KETOCONAZOLE  
Retinoids	 VORICONAZOLE 
Retinoids	 METHOTREXATE  
Retinoids	 VITAMIN A 
Ribavirin	 ABACAVIR 
Ribavirin	 ZIDOVUDINE 
Ribavirin	 AZATHIOPRINE 
Rifamycins	 PRAZIQUANTEL 
Rifamycins	 DRONEDARONE 
Rifamycins	 PROPAFENONE  
Rifamycins	 TELITHROMYCIN  
Rifamycins	 RIVAROXABAN 
Rifamycins	 SULFONYLUREAS  
Rifamycins	 PHENYTOIN  
Rifamycins	 PRIMIDONE 
Rifamycins	 SAQUINAVIR  
Rifamycins	 TIPRANAVIR 
Rifamycins	 ATOVAQUONE  
Rifamycins	 BOSENTAN 
Rifamycins	 NIFEDIPINE 
Rifamycins	 VERAPAMIL  
Rifamycins	 CANNABIS EXTRACT 
Rifamycins	 CICLOSPORIN  
Rifamycins	 COBICISTAT  
Rifamycins	 COBICISTAT 
Rifamycins	 CORTICOSTEROIDS  
Rifamycins	 TRABECTEDIN 
Rifamycins	 CRIZOTINIB 
Rifamycins	 VANDETANIB 
Rifamycins	 IMATINIB  
Rifamycins	 VEMURAFENIB 
Rifamycins	 EVEROLIMUS  
Rifamycins	 ERIBULIN  
Rifamycins	 TEMSIROLIMUS 
Rifamycins	 VISMODEGIB  
Rifamycins	 EPLERENONE 
Rifamycins	 TAMOXIFEN  
Rifamycins	 IVACAFTOR 
Rifamycins	 MACITENTAN 
Rifamycins	 MYCOPHENOLATE 
Rifamycins	 NINTEDANIB 
Rifamycins	 OESTROGENS  
Rifamycins	 PROGESTOGENS  
Rifamycins	 RANOLAZINE 
Rifamycins	 ROFLUMILAST 
Rifamycins	 SIROLIMUS 
Rilpivirine	 RIFABUTIN  
Rilpivirine	 RIFAMPICIN 
Rilpivirine	 PHENYTOIN  
Rilpivirine	 PRIMIDONE  
Rilpivirine	 DEXAMETHASONE  
Rilpivirine	 ORLISTAT 
Rilpivirine	 OMEPRAZOLE 
Rilpivirine	 HISTAMINE H2- ANTAGONISTS  
Ritonavir	 ALFUZOSIN 
Ritonavir	 AMINOPHYLLINE  
Ritonavir	 PETHIDINE 
Ritonavir	 ALBENDAZOLE 
Ritonavir	 FLECAINIDE  
Ritonavir	 TELITHROMYCIN 
Ritonavir	 RIVAROXABAN 
Ritonavir	 PHENYTOIN 
Ritonavir	 SODIUM VALPROATE  
Ritonavir	 VALPROIC ACID 
Ritonavir	 FLUCONAZOLE 
Ritonavir	 VORICONAZOLE 
Ritonavir	 QUININE  
Ritonavir	 FESOTERODINE 
Ritonavir	 SOLIFENACIN 
Ritonavir	 QUETIAPINE 
Ritonavir	 MARAVIROC  
Ritonavir	 TELAPREVIR 
Ritonavir	 ZOLPIDEM  
Ritonavir	 BUSPIRONE  
Ritonavir	 AVANAFIL 
Ritonavir	 BOSENTAN  
Ritonavir	 LERCANIDIPINE 
Ritonavir	 CICLOSPORIN 
Rituximab	 CLOZAPINE  
Rituximab	 VACCINES 
Rivaroxaban	 DICLOFENAC  
Rivaroxaban	 KETOROLAC  
Rivaroxaban	 RIFAMPICIN 
Rivaroxaban	 DABIGATRAN  
Rivaroxaban	 FOSPHENYTOIN 
Rivaroxaban	 PRIMIDONE 
Rivaroxaban	 VORICONAZOLE 
Rivaroxaban	 TIPRANAVIR 
Rivaroxaban	 RITONAVIR 
Rivaroxaban	 COBICISTAT 
Roflumilast	 RIFAMPICIN 
Rufinamide	 TRICYCLICS  
Rufinamide	 MEFLOQUINE 
Rufinamide	 ANTIPSYCHOTICS  
Rufinamide	 OESTROGENS  
Rufinamide	 ORLISTAT 
Rufinamide	 PROGESTOGENS  
Ruxolitinib	 RIFAMPICIN 
Ruxolitinib	 FLUCONAZOLE 
Ruxolitinib	 POSACONAZOLE  
Ruxolitinib	 VORICONAZOLE 
Ruxolitinib	 CLOZAPINE  
Ruxolitinib	 INDINAVIR 
Ruxolitinib	 TELAPREVIR 
Saquinavir	 FENTANYL  
Saquinavir	 METHADONE 
Saquinavir	 LIDOCAINE  
Saquinavir	 PROPAFENONE 
Saquinavir	 CLARITHROMYCIN  
Saquinavir	 MOXIFLOXACIN 
Saquinavir	 RIFAMPICIN 
Saquinavir	 TELITHROMYCIN  
Saquinavir	 PHENOBARBITAL 
Saquinavir	 PRIMIDONE 
Saquinavir	 TRIAZOLES 
Saquinavir	 MIZOLASTINE 
Saquinavir	 QUININE 
Saquinavir	 HALOPERIDOL  
Saquinavir	 LURASIDONE 
Saquinavir	 QUETIAPINE 
Saquinavir	 DARUNAVIR 
Saquinavir	 TIPRANAVIR 
Saquinavir	 MIDAZOLAM  
Saquinavir	 AVANAFIL 
Saquinavir	 SOTALOL 
Saquinavir	 CICLOSPORIN 
Saquinavir	 CABAZITAXEL 
Saquinavir	 IBRUTINIB 
Saquinavir	 DOCETAXEL 
Saquinavir	 DAPOXETINE  
Saquinavir	 DOMPERIDONE 
Saquinavir	 ERGOTAMINE 
Saquinavir	 ATORVASTATIN 
Saquinavir	 SIMVASTATIN  
Saquinavir	 LOMITAPIDE  
Saquinavir	 ORLISTAT 
Saquinavir	 PENTAMIDINE ISETIONATE 
Saquinavir	 RANOLAZINE 
Saquinavir	 SILDENAFIL 
Saquinavir	 TACROLIMUS  
Saquinavir	 TADALAFIL 
Selegiline	 OPIOID ANALGESICS 
Selegiline	 VENLAFAXINE 
Selegiline	 TRICYCLICS 
Selegiline	 OESTROGENS 
Selegiline	 PROGESTOGENS 
Selegiline	 DOPAMINE 
Sildenafil	 ALPHA-BLOCKERS  
Sildenafil	 TELITHROMYCIN 
Sildenafil	 ITRACONAZOLE 
Sildenafil	 RITONAVIR 
Sildenafil	 TIPRANAVIR 
Sildenafil	 COBICISTAT 
Sildenafil	 NICORANDIL  
Sildenafil	 NITRATES  
Sildenafil	 RIOCIGUAT 
Siltuximab	 CLOZAPINE  
Siltuximab	 VACCINES 
Simeprevir	 AMIODARONE 
Simeprevir	 TELITHROMYCIN 
Simeprevir	 RIFABUTIN 
Simeprevir	 RIFAMPICIN 
Simeprevir	 FOSPHENYTOIN 
Simeprevir	 PHENYTOIN  
Simeprevir	 PRIMIDONE 
Simeprevir	 FLUCONAZOLE 
Simeprevir	 VORICONAZOLE 
Simeprevir	 RITONAVIR 
Simeprevir	 COBICISTAT 
Sirolimus	 RIFAMPICIN 
Sirolimus	 VORICONAZOLE 
Sirolimus	 POSACONAZOLE 
Sirolimus	 TELAPREVIR  
Sirolimus	 VERAPAMIL 
Sodium Aurothiomalate	 ACE INHIBITORS 
Sodium Oxybate	 OPIOID ANALGESICS  
Sodium Oxybate	 VALPROIC ACID  
Sodium Oxybate	 BENZODIAZEPINES  
Sodium Stibogluconate	 AMPHOTERICIN 
Sodium Valproate	 ERYTHROMYCIN  
Sodium Valproate	 CARBAPENEMS 
Sodium Valproate	 TRICYCLICS  
Sodium Valproate	 ETHOSUXIMIDE 
Sodium Valproate	 TOPIRAMATE 
Sodium Valproate	 MEFLOQUINE 
Sodium Valproate	 OLANZAPINE 
Sodium Valproate	 ORLISTAT 
Sodium Valproate	 SODIUM OXYBATE  
Sodium Valproate	 CIMETIDINE  
Sofosbuvir	 AMIODARONE 
Sorafenib	 COUMARINS 
Statins	 AMIODARONE  
Statins	 DRONEDARONE 
Statins	 CLARITHROMYCIN 
Statins	 TELITHROMYCIN 
Statins	 COUMARINS  
Statins	 COUMARINS 
Statins	 PHENYTOIN  
Statins	 ITRACONAZOLE 
Statins	 ITRACONAZOLE 
Statins	 VORICONAZOLE 
Statins	 VORICONAZOLE 
Statins	 ATAZANAVIR 
Statins	 ATAZANAVIR 
Statins	 BOCEPREVIR  
Statins	 RITONAVIR 
Statins	 RITONAVIR  
Statins	 TIPRANAVIR  
Statins	 VERAPAMIL 
Statins	 CICLOSPORIN 
Statins	 CLOPIDOGREL 
Statins	 COBICISTAT 
Statins	 COLCHICINE 
Statins	 ELTROMBOPAG 
Statins	 GRAPEFRUIT JUICE 
Statins	 DANAZOL 
Statins	 BEZAFIBRATE  
Statins	 FENOFIBRATE 
Statins	  LOMITAPIDE 
Statins	 NICOTINIC ACID  
Statins	 RANOLAZINE  
Statins	 TERIFLUNOMIDE  
Statins	 TICAGRELOR  
Stavudine	 ZIDOVUDINE  
Stavudine	 HYDROXYCARBAMIDE 
Stavudine	 ORLISTAT 
Stiripentol	 TRICYCLICS  
Stiripentol	 PHENOBARBITAL 
Stiripentol	 PRIMIDONE 
Stiripentol	 MEFLOQUINE 
Stiripentol	 ANTIPSYCHOTICS  
Stiripentol	 ORLISTAT 
Sucralfate	 COUMARINS  
Sucralfate	 FOSPHENYTOIN 
Sucralfate	 PHENYTOIN 
Sulfinpyrazone	 DABIGATRAN 
Sulfinpyrazone	 SULFONYLUREAS 
Sulfinpyrazone	 PHENYTOIN 
Sulfinpyrazone	 CICLOSPORIN 
Sulfonamides	 PRILOCAINE 
Sulfonamides	 METHENAMINE 
Sunitinib	 CLOZAPINE  
Sunitinib	 BOCEPREVIR 
Sympathomimetics	 GUANETHIDINE 
Sympathomimetics	 TOLAZOLINE 
Sympathomimetics	 VOLATILE LIQUID GENERAL ANAESTHETICS 
Sympathomimetics	 COUMARINS 
Sympathomimetics	 MAOIS 
Sympathomimetics	 TRICYCLICS 
Sympathomimetics	 BETA- BLOCKERS 
Sympathomimetics	 CLONIDINE  
Sympathomimetics	 SELEGILINE 
Sympathomimetics	 SELEGILINE 
Sympathomimetics	 NORADRENALINE (NOREPINEPHRINE) 
Sympathomimetics, Beta2	 KETOCONAZOLE 
Sympathomimetics, Beta2	 KETOCONAZOLE  
Sympathomimetics, Beta2	 TIPRANAVIR 
Sympathomimetics, Beta2	 TELAPREVIR  
Sympathomimetics, Beta2	 METHYLDOPA 
Tacrolimus	 IBUPROFEN 
Tacrolimus	 CHLORAMPHENICOL  
Tacrolimus	 VANCOMYCIN 
Tacrolimus	 DABIGATRAN 
Tacrolimus	 PRIMIDONE 
Tacrolimus	 KETOCONAZOLE 
Tacrolimus	 AMPHOTERICIN 
Tacrolimus	 CASPOFUNGIN 
Tacrolimus	 DROPERIDOL  
Tacrolimus	 FOSAMPRENAVIR 
Tacrolimus	 SAQUINAVIR  
Tacrolimus	 TELAPREVIR  
Tacrolimus	 DILTIAZEM 
Tacrolimus	 NIFEDIPINE 
Tacrolimus	 CICLOSPORIN  
Tacrolimus	 AFATINIB 
Tacrolimus	 IMATINIB 
Tacrolimus	 POTASSIUM-SPARING DIURETICS AND ALDOSTERONE ANTAGONISTS 
Tacrolimus	 GRAPEFRUIT JUICE 
Tacrolimus	 POTASSIUM SALTS 
Tacrolimus	 RANOLAZINE 
Tadalafil	 ALPHA-BLOCKERS 
Tadalafil	 RIFAMPICIN 
Tadalafil	 ITRACONAZOLE 
Tadalafil	 TELAPREVIR 
Tadalafil	 COBICISTAT 
Tamoxifen	 COUMARINS 
Tamoxifen	 PAROXETINE  
Tamoxifen	 DROPERIDOL  
Tamoxifen	 BUPROPION  
Tamoxifen	 CINACALCET  
Tegafur	 COUMARINS 
Tegafur	 CLOZAPINE  
Tegafur	 FOLIC ACID 
Telaprevir	 ALFUZOSIN 
Telaprevir	 METHADONE  
Telaprevir	 LIDOCAINE 
Telaprevir	 CLARITHROMYCIN 
Telaprevir	 RIFABUTIN 
Telaprevir	 RIFAMPICIN 
Telaprevir	 DABIGATRAN 
Telbivudine	 INTERFERON ALFA  
Telbivudine	 PEGINTERFERON ALFA 
Telithromycin	 OXYCODONE 
Telithromycin	 DRONEDARONE 
Telithromycin	 MOXIFLOXACIN 
Telithromycin	 RIFAMPICIN  
Telithromycin	 PHENOBARBITAL 
Telithromycin	 PRIMIDONE  
Telithromycin	 KETOCONAZOLE 
Telithromycin	 QUETIAPINE 
Telithromycin	 FOSAMPRENAVIR 
Telithromycin	 TIPRANAVIR  
